iter	Passed	Remaining
0	2	1283
1	4	1239
2	7	1187
3	9	1190
4	12	1204
5	14	1217
6	17	1205
7	19	1200
8	21	1193
9	24	1186
10	26	1185
11	29	1199
12	31	1195
13	34	1189
14	36	1180
15	39	1193
16	41	1189
17	44	1195
18	47	1192
19	49	1181
20	51	1175
21	53	1167
22	56	1164
23	58	1162
24	62	1186
25	64	1183
26	67	1179
27	69	1171
28	71	1168
29	74	1165
30	77	1177
31	80	1173
32	82	1168
33	84	1163
34	87	1158
35	89	1152
36	91	1147
37	94	1146
38	96	1143
39	99	1139
40	101	1134
41	103	1130
42	106	1126
43	108	1126
44	111	1122
45	113	1118
46	115	1112
47	117	1108
48	119	1103
49	122	1098
50	125	1104
51	127	1100
52	130	1096
53	132	1094
54	135	1095
55	137	1092
56	140	1090
57	142	1087
58	144	1081
59	146	1077
60	149	1076
61	151	1071
62	153	1066
63	157	1069
64	159	1065
65	161	1061
66	163	1056
67	165	1052
68	167	1047
69	169	1043
70	172	1040
71	174	1036
72	176	1032
73	178	1028
74	180	1024
75	182	1020
76	185	1016
77	187	1013
78	189	1010
79	191	1006
80	193	1003
81	196	999
82	198	995
83	200	991
84	202	987
85	205	987
86	207	984
87	209	981
88	211	977
89	214	977
90	216	973
91	219	973
92	222	972
93	224	969
94	226	965
95	228	962
96	230	958
97	232	955
98	235	953
99	238	952
100	240	948
101	242	945
102	244	942
103	246	938
104	248	935
105	250	931
106	253	931
107	255	927
108	257	924
109	259	920
110	262	919
111	264	917
112	267	917
113	269	914
114	272	910
115	274	907
116	276	904
117	278	901
118	280	897
119	282	895
120	285	893
121	287	889
122	289	886
123	291	883
124	293	880
125	295	877
126	298	875
127	300	873
128	302	870
129	304	867
130	306	864
131	309	862
132	311	859
133	313	857
134	316	856
135	318	853
136	320	850
137	322	847
138	324	844
139	327	841
140	329	838
141	332	837
142	334	834
143	336	831
144	338	828
145	340	825
146	342	822
147	344	819
148	348	820
149	350	817
150	352	814
151	354	811
152	356	808
153	358	806
154	360	803
155	363	801
156	365	799
157	367	796
158	369	793
159	371	790
160	374	788
161	376	785
162	379	783
163	381	781
164	383	778
165	385	775
166	387	772
167	389	770
168	391	767
169	394	765
170	396	762
171	398	760
172	400	757
173	402	754
174	404	752
175	407	749
176	409	747
177	412	745
178	414	743
179	416	740
180	418	737
181	421	736
182	423	733
183	426	732
184	428	730
185	430	727
186	433	724
187	435	722
188	437	719
189	439	717
190	441	714
191	444	712
192	446	709
193	448	707
194	450	704
195	452	702
196	454	699
197	456	696
198	459	695
199	461	692
200	463	689
201	465	687
202	468	684
203	470	682
204	472	679
205	475	678
206	477	675
207	479	673
208	481	670
209	484	668
210	486	665
211	488	663
212	491	661
213	493	659
214	495	656
215	497	654
216	499	651
217	501	649
218	503	646
219	507	645
220	510	644
221	512	642
222	514	639
223	517	637
224	519	635
225	522	633
226	524	631
227	526	628
228	528	625
229	531	623
230	533	621
231	535	618
232	539	617
233	541	615
234	543	612
235	545	610
236	547	607
237	557	613
238	559	610
239	561	607
240	563	605
241	565	603
242	567	600
243	571	599
244	573	596
245	575	594
246	577	591
247	579	589
248	582	587
249	584	584
250	587	583
251	590	580
252	592	578
253	594	575
254	596	573
255	598	570
256	600	568
257	603	566
258	605	563
259	607	561
